date,invoice,cod_customer,cod_product,amount
2018-01-01,1,1025,3,3
2018-01-01,2,1158,5,9
2018-01-01,3,1183,1,4
2018-01-01,3,1183,9,4
2018-01-01,4,1292,10,3
2018-01-01,5,1756,10,3
2018-01-01,5,1756,11,1
2018-01-01,6,1761,2,4
2018-01-01,6,1761,3,3
2018-01-01,6,1761,4,3
2018-01-01,7,1763,2,4
2018-01-01,7,1763,9,1
2018-01-01,7,1763,11,1
2018-01-01,8,1806,1,4
2018-01-01,8,1806,7,7
2018-01-01,8,1806,11,9
2018-01-01,9,1961,4,7
2018-01-02,10,1166,2,2
2018-01-02,11,1219,5,3
2018-01-02,12,1306,2,1
2018-01-02,12,1306,4,1
2018-01-02,12,1306,5,1
2018-01-02,13,1403,2,4
2018-01-02,14,1528,9,3
2018-01-02,15,1642,1,4
2018-01-02,15,1642,11,5
2018-01-02,16,1795,2,3
2018-01-02,16,1795,4,1
2018-01-02,16,1795,7,3
2018-01-02,17,1828,4,8
2018-01-02,17,1828,8,2
2018-01-02,18,1878,2,4
2018-01-02,18,1878,4,3
2018-01-02,19,1937,5,5
2018-01-02,19,1937,8,2
2018-01-02,19,1937,9,3
2018-01-03,20,1016,11,4
2018-01-03,21,1045,11,1
2018-01-03,22,1338,6,3
2018-01-03,22,1338,7,1
2018-01-03,23,1430,6,3
2018-01-03,24,1528,6,1
2018-01-03,25,1749,1,8
2018-01-03,25,1749,3,8
2018-01-03,26,1966,2,2
2018-01-03,27,1970,2,5
2018-01-03,27,1970,11,4
2018-01-03,28,1989,8,2
2018-01-04,29,1019,10,2
2018-01-04,30,1109,3,3
2018-01-04,31,1265,4,2
2018-01-04,31,1265,6,9
2018-01-04,32,1540,5,4
2018-01-04,33,1545,10,1
2018-01-04,34,1600,7,4
2018-01-04,35,1607,3,4
2018-01-04,36,1677,4,7
2018-01-04,36,1677,8,2
2018-01-04,36,1677,11,1
2018-01-04,37,1737,11,1
2018-01-04,38,1745,2,2
2018-01-04,38,1745,3,4
2018-01-04,38,1745,4,2
